shape,group,category,quality,old_name,new_name,source_path,source_grid,source_cell,file_path,new_file_path
circle,AI simple Anti AI,Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_01.png,01_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_01.png,10,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_01.png,newData/circle/AI simple Anti AI/Perfect/01_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_06.png,02_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_06.png,10,6,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_06.png,newData/circle/AI simple Anti AI/Perfect/02_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_20.png,03_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_20.png,10,20,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_20.png,newData/circle/AI simple Anti AI/Perfect/03_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_06.png,04_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_06.png,1,6,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_06.png,newData/circle/AI simple Anti AI/Perfect/04_2880x2880_high.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_04.png,05_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_04.png,10,4,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_04.png,newData/circle/AI simple Anti AI/Perfect/05_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_10.png,06_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_10.png,10,10,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_10.png,newData/circle/AI simple Anti AI/Perfect/06_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_12.png,07_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_12.png,10,12,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_12.png,newData/circle/AI simple Anti AI/Perfect/07_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_14.png,08_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_14.png,10,14,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_14.png,newData/circle/AI simple Anti AI/Perfect/08_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_01.png,09_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_1_01.png,1,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_01.png,newData/circle/AI simple Anti AI/Perfect/09_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_05.png,10_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_1_05.png,1,5,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_05.png,newData/circle/AI simple Anti AI/Perfect/10_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_17.png,11_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_1_17.png,1,17,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_1_17.png,newData/circle/AI simple Anti AI/Perfect/11_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_01.png,12_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_2_01.png,2,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_01.png,newData/circle/AI simple Anti AI/Perfect/12_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_09.png,13_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_2_09.png,2,9,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_09.png,newData/circle/AI simple Anti AI/Perfect/13_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_15.png,14_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_2_15.png,2,15,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_15.png,newData/circle/AI simple Anti AI/Perfect/14_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_19.png,15_2880x2880_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_2_19.png,2,19,newData/circle/AI simple Anti AI/Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_19.png,newData/circle/AI simple Anti AI/Perfect/15_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_01.png,16_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_01.png,1,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_01.png,newData/circle/AI simple Anti AI/Perfect/16_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_04.png,17_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_04.png,1,4,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_04.png,newData/circle/AI simple Anti AI/Perfect/17_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_06.png,18_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_06.png,1,6,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_06.png,newData/circle/AI simple Anti AI/Perfect/18_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_11.png,19_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_11.png,1,11,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_11.png,newData/circle/AI simple Anti AI/Perfect/19_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_14.png,20_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_14.png,1,14,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_14.png,newData/circle/AI simple Anti AI/Perfect/20_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_01.png,21_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_01.png,2,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_01.png,newData/circle/AI simple Anti AI/Perfect/21_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_05.png,22_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_05.png,2,5,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_05.png,newData/circle/AI simple Anti AI/Perfect/22_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_09.png,23_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_09.png,2,9,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_09.png,newData/circle/AI simple Anti AI/Perfect/23_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_13.png,24_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_13.png,2,13,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_13.png,newData/circle/AI simple Anti AI/Perfect/24_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__03_11.png,25_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/03_11.png,3,11,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__03_11.png,newData/circle/AI simple Anti AI/Perfect/25_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__03_17.png,26_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/03_17.png,3,17,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__03_17.png,newData/circle/AI simple Anti AI/Perfect/26_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__04_07.png,27_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/04_07.png,4,7,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__04_07.png,newData/circle/AI simple Anti AI/Perfect/27_2880x2880_high.png
circle,AI simple Anti AI,Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__04_09.png,28_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/04_09.png,4,9,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_high__04_09.png,newData/circle/AI simple Anti AI/Perfect/28_2880x2880_high.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_01.png,29_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_01.png,1,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_01.png,newData/circle/AI simple Anti AI/Perfect/29_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_03.png,30_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_03.png,1,3,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_03.png,newData/circle/AI simple Anti AI/Perfect/30_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_09.png,31_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_09.png,1,9,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_09.png,newData/circle/AI simple Anti AI/Perfect/31_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_17.png,32_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_17.png,1,17,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_17.png,newData/circle/AI simple Anti AI/Perfect/32_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_18.png,33_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_18.png,1,18,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_18.png,newData/circle/AI simple Anti AI/Perfect/33_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_02.png,34_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_02.png,2,2,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_02.png,newData/circle/AI simple Anti AI/Perfect/34_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_07.png,35_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_07.png,2,7,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_07.png,newData/circle/AI simple Anti AI/Perfect/35_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_13.png,36_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_13.png,2,13,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_13.png,newData/circle/AI simple Anti AI/Perfect/36_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_14.png,37_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_14.png,2,14,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_14.png,newData/circle/AI simple Anti AI/Perfect/37_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_19.png,38_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_19.png,2,19,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_19.png,newData/circle/AI simple Anti AI/Perfect/38_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_22.png,39_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_22.png,2,22,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_22.png,newData/circle/AI simple Anti AI/Perfect/39_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_01.png,40_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_01.png,3,1,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_01.png,newData/circle/AI simple Anti AI/Perfect/40_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_11.png,41_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_11.png,3,11,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_11.png,newData/circle/AI simple Anti AI/Perfect/41_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_18.png,42_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_18.png,3,18,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_18.png,newData/circle/AI simple Anti AI/Perfect/42_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_23.png,43_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_23.png,3,23,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_23.png,newData/circle/AI simple Anti AI/Perfect/43_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_33.png,44_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_33.png,3,33,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_33.png,newData/circle/AI simple Anti AI/Perfect/44_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__04_06.png,45_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/04_06.png,4,6,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__04_06.png,newData/circle/AI simple Anti AI/Perfect/45_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__04_11.png,46_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/04_11.png,4,11,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__04_11.png,newData/circle/AI simple Anti AI/Perfect/46_2880x2880_medium.png
circle,AI simple Anti AI,Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__04_18.png,47_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/04_18.png,4,18,newData/circle/AI simple Anti AI/Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__04_18.png,newData/circle/AI simple Anti AI/Perfect/47_2880x2880_medium.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_12.png,10_12_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_12.png,10,12,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_12.png,newData/circle/AI Many/Nearly Perfect/10_12_high.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_22.png,10_22_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_22.png,10,22,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_22.png,newData/circle/AI Many/Nearly Perfect/10_22_high.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_34.png,10_34_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_34.png,10,34,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_34.png,newData/circle/AI Many/Nearly Perfect/10_34_high.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_04.png,1_04_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_04.png,1,4,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_04.png,newData/circle/AI Many/Nearly Perfect/1_04_high.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_08.png,1_08_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_08.png,1,8,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_08.png,newData/circle/AI Many/Nearly Perfect/1_08_high.png
circle,AI Many,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_14.png,1_14_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_14.png,1,14,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_14.png,newData/circle/AI Many/Nearly Perfect/1_14_high.png
circle,AI Many,Nearly Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_05.png,10_05_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_05.png,10,5,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_05.png,newData/circle/AI Many/Nearly Perfect/10_05_medium.png
circle,AI Many,Nearly Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_15.png,10_15_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_15.png,10,15,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_15.png,newData/circle/AI Many/Nearly Perfect/10_15_medium.png
circle,AI Many,Nearly Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_17.png,10_17_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_17.png,10,17,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_17.png,newData/circle/AI Many/Nearly Perfect/10_17_medium.png
circle,AI Many,Nearly Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_21.png,10_21_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_21.png,10,21,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_21.png,newData/circle/AI Many/Nearly Perfect/10_21_medium.png
circle,AI Many,Nearly Perfect,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_17.png,2_17_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_2_17.png,2,17,newData/circle/AI Many/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_2_17.png,newData/circle/AI Many/Nearly Perfect/2_17_medium.png
circle,AI Many,Needs significant improvement,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_19.png,10_19_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_19.png,10,19,newData/circle/AI Many/Needs significant improvement/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_19.png,newData/circle/AI Many/Needs significant improvement/10_19_medium.png
circle,AI Many,Needs significant improvement,medium,round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_31.png,10_31_medium.png,round1-circle_10v_cropped_padded/circle-final-6x6_medium/01_10_31.png,10,31,newData/circle/AI Many/Needs significant improvement/round1-circle_10v_cropped_padded__circle-final-6x6_medium__01_10_31.png,newData/circle/AI Many/Needs significant improvement/10_31_medium.png
